disease,symptoms,description,medication
"Acidity: Symptoms, Treatment, and Home Remedies",The symptoms of acid reflux include:,,"Based on your condition, your doctor will prescribe medicines (including antacids) to counter the acidity. If the condition is too severe, he may suggest surgery (Vagotomy) to reduce the production of acid in the stomach."
"Acute Coronary Syndrome (ACS): Symptoms, Complications, and Treatment",The ACS patients almost always complain of symptoms such as:,,Exercise
"Angioplasty Overview: Meaning, Procedure, & Risks","If you experience any of the aforementioned symptoms of coronary atherosclerosis or any other heart-related symptoms, you should immediately consult your family doctor or a general physician. The general physician, in turn, will refer you to a cardiologist.",,
"Anxiety: Disorder, Meaning, and Symptoms",The most common symptoms of anxiety are:,,Medical Treatment for Anxiety
"Back Pain: Causes, Symptoms, and Treatment",The symptoms of back pain include:,,Medical Treatments for Back Pain
"Bipolar Disorder: Meaning, Symptoms, and Treatment",Symptoms of bipolar disorder can vary from patient to patient according to the mood:,,Treatment for Bipolar Disorder
"Bronchitis: Causes, Symptoms, and Treatment",The symptoms of bronchitis include:,,"If the bronchitis is due to bacteria the doctor will prescribe antibiotics. For viral bronchitis, he may prescribe a cough suppressant and pain reliever. You will also be asked to take plenty of fluids and be on bed rest."
"Cataracts: Causes, Symptoms, and Treatment",The symptoms of cataract include:,,"Surgery is the only way to remove cataracts. Based on your condition your ophthalmologist can guide you when to undergo the surgery. In the initial stages, cataracts usually do not require any surgery. It is when cataracts affect your daily life such as, keeping you from doing things you want or need to do that you need to consider undergoing the surgery."
"Chickenpox: Symptoms, Complications, and Treatment",Chickenpox is usually characterised by the following symptoms:,,Medical treatments
Chlamydia Infection: Symptoms and Treatment,The signs and symptoms of chlamydia in women include:,,Chlamydia is easily treatable with antibiotics. Your doctor may also suggest your partner(s) be treated to prevent the infection from spreading to others.
"Cholesterol: Symptoms, Causes, and Treatment",The symptoms of high cholesterol levels include:,,Medical treatment for high cholesterol
